obs_ID,date,STG_n,time,hrd_size,area,beau,psd,effort,type,northing,easting,season,boat_assoc,P_or_S,lat_ROK,lon_ROK,hrd_size_ROK
OB0137,2023/01/04,2,1457,1,W_LANTAU,3,28,ON,HKCRP,805864,801744,WINTER,NONE,S,22.19100132,113.8420922,1
OB0138,2023/01/05,1,1021,1,W_LANTAU,2,51,ON,HKCRP,813137,802574,WINTER,NONE,S,22.25669686,113.8499886,1
OB0139,2023/01/05,2,1024,1,W_LANTAU,2,1429,ON,HKCRP,812551,802254,WINTER,NONE,S,22.25139871,113.8468965,1
OB0140,2023/01/05,3,1038,3,W_LANTAU,2,264,ON,HKCRP,809254,800916,WINTER,NONE,S,22.22159821,113.8339888,3
OB0141,2023/01/12,1,1023,1,W_LANTAU,3,141,ON,HKCRP,813337,802585,WINTER,NONE,S,22.25850318,113.8500911,1
OB0142,2023/01/17,1,1207,3,W_LANTAU,3,111,ON,HKCRP,809612,799535,WINTER,NONE,S,22.22480236,113.8205863,3
OB0143,2023/02/06,1,1015,1,W_LANTAU,1,815,ON,HKCRP,814121,803360,WINTER,NONE,S,22.26559805,113.8575938,1
OB0144,2023/02/06,2,1028,8,W_LANTAU,1,356,ON,HKCRP,811412,801529,WINTER,NONE,S,22.24109852,113.8398878,8
OB0145,2023/02/08,1,1453,1,SW_LANTAU,3,ND,OFF,HKCRP,806062,802425,WINTER,NONE,,22.19280281,113.8486917,1
OB0146,2023/02/09,1,1049,9,W_LANTAU,3,575,ON,HKCRP,814444,802546,WINTER,NONE,P,22.26849919,113.8496895,9
OB0147,2023/02/09,2,1124,5,W_LANTAU,2,531,ON,HKCRP,813648,801823,WINTER,NONE,P,22.26129663,113.8426918,5
OB0148,2023/02/09,3,1148,2,W_LANTAU,2,65,ON,HKCRP,812442,801717,WINTER,NONE,P,22.25040372,113.8416893,2
OB0149,2023/02/09,4,1228,2,W_LANTAU,2,1726,ON,HKCRP,809884,801309,WINTER,NONE,S,22.22729543,113.8377869,2
OB0150,2023/02/09,5,1232,12,W_LANTAU,2,70,ON,HKCRP,809265,801205,WINTER,NONE,S,22.22170343,113.8367916,12
OB0151,2023/02/09,6,1255,2,W_LANTAU,2,172,ON,HKCRP,809499,800339,WINTER,NONE,P,22.2237988,113.828387,2
OB0152,2023/02/09,7,1318,6,W_LANTAU,3,60,ON,HKCRP,808446,800873,WINTER,NONE,P,22.21430065,113.8335895,6
OB0153,2023/02/15,1,1022,1,W_LANTAU,3,102,ON,HKCRP,813384,801245,WINTER,NONE,S,22.25890095,113.8370899,1
OB0154,2023/02/15,2,1040,1,W_LANTAU,3,478,ON,HKCRP,812339,802933,WINTER,NONE,S,22.24949747,113.8534879,1
OB0155,2023/02/15,3,1117,5,W_LANTAU,4,114,ON,HKCRP,808412,800986,WINTER,NONE,P,22.21399592,113.8346862,5
OB0156,2023/02/15,4,1207,6,SW_LANTAU,2,61,ON,HKCRP,805951,802445,WINTER,NONE,S,22.19180081,113.848888,6
OB0157,2023/02/15,5,1317,1,SW_LANTAU,2,138,ON,HKCRP,807893,805605,WINTER,NONE,S,22.20939705,113.8794937,1
OB0158,2023/02/15,11,1606,1,SE_LANTAU,2,180,ON,HKCRP,809406,814537,WINTER,GILLNET,P,22.2231956,113.9660984,1
OB0159,2023/02/17,1,1026,1,W_LANTAU,2,677,ON,HKCRP,813513,802864,WINTER,NONE,S,22.26009797,113.8527942,1
OB0160,2023/02/17,2,1040,8,W_LANTAU,2,757,ON,HKCRP,811522,801736,WINTER,NONE,S,22.24209602,113.8418934,8
OB0161,2023/02/17,3,1054,1,W_LANTAU,2,1463,ON,HKCRP,810118,800794,WINTER,NONE,S,22.22939809,113.8327865,1
OB0162,2023/02/17,4,1201,2,W_LANTAU,2,248,ON,HKCRP,809422,800308,WINTER,NONE,P,22.2231028,113.8280881,2
OB0163,2023/02/17,5,1256,7,W_LANTAU,2,207,ON,HKCRP,813537,802008,WINTER,NONE,P,22.26029793,113.844489,7
OB0164,2023/02/17,6,1324,4,W_LANTAU,2,178,ON,HKCRP,814532,802722,WINTER,NONE,P,22.2692973,113.8513952,4
OB0165,2023/02/20,1,1019,5,W_LANTAU,3,221,ON,HKCRP,813292,802575,WINTER,NONE,S,22.25809661,113.849995,5
OB0166,2023/02/20,2,1041,3,W_LANTAU,3,276,ON,HKCRP,810405,801249,WINTER,NONE,S,22.23199913,113.8371936,3
OB0167,2023/03/02,1,1311,8,W_LANTAU,3,383,ON,HKCRP,809011,800823,SPRING,NONE,S,22.21940188,113.8330922,8
OB0168,2023/03/07,1,1308,2,W_LANTAU,2,306,ON,HKCRP,811302,801457,SPRING,NONE,S,22.24010371,113.8391917,2
OB0169,2023/03/07,2,1321,1,W_LANTAU,3,137,ON,HKCRP,808933,800730,SPRING,NONE,S,22.21869559,113.8321919,1
OB0170,2023/03/07,3,1335,5,W_LANTAU,3,37,ON,HKCRP,806462,801642,SPRING,NONE,S,22.19639957,113.8410903,5
OB0171,2023/03/15,1,1029,4,W_LANTAU,3,350,ON,HKCRP,810416,801321,SPRING,NONE,S,22.23209992,113.8378917,4
OB0172,2023/03/15,2,1043,1,W_LANTAU,3,136,ON,HKCRP,808147,800769,SPRING,NONE,S,22.21159839,113.8325875,1
OB0173,2023/03/15,3,1059,3,SW_LANTAU,2,ND,OFF,HKCRP,805265,801938,SPRING,NONE,,22.18559586,113.8439862,3
OB0174,2023/03/20,1,1032,1,W_LANTAU,3,29,ON,HKCRP,813580,802720,SPRING,NONE,S,22.26070022,113.8513957,1
OB0175,2023/03/20,2,1050,2,W_LANTAU,3,69,ON,HKCRP,811092,801240,SPRING,NONE,S,22.23820292,113.8370913,2
OB0176,2023/03/20,3,1103,1,W_LANTAU,3,ND,OFF,HKCRP,811126,800807,SPRING,NONE,,22.23850113,113.8328904,1
OB0177,2023/03/20,4,1114,1,W_LANTAU,3,34,ON,HKCRP,808701,800719,SPRING,NONE,S,22.21660028,113.8320903,1
OB0178,2023/03/20,5,1127,3,W_LANTAU,3,50,ON,HKCRP,806262,801827,SPRING,NONE,S,22.19459714,113.8428886,3
OB0179,2023/03/20,7,1537,1,SE_LANTAU,2,126,ON,HKCRP,808907,814907,SPRING,NONE,S,22.21869392,113.9696938,1
OB0180,2023/03/23,1,1019,11,W_LANTAU,2,66,ON,HKCRP,814011,803123,SPRING,PURSE-SEINE,S,22.26460016,113.8552966,11
OB0181,2023/03/23,2,1031,1,W_LANTAU,3,358,ON,HKCRP,812916,802296,SPRING,NONE,S,22.25469567,113.8472962,1
